"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72314013881","2020-05-10T15:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.11","42","70","0.00","","+0.09","8","37","30.09","SCT:04 60","29.28","10.00","55","230","21","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10805/10/20 15:52:02 METAR KCLT 102052Z 23010G18KT 10SM SCT060 21/06 A3011 RMK AO2 SLP191 T02110056 58031 (SAC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T16:00:00","FM-12","4","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","70","","","+0.09","8","37","30.09","57","29.33","9.94","55","230","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07472314 32766 42310 10211 20056 39933 40191 58031 92052 333 91018 555 91021=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T16:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.09","42","68","0.00","","","","39","30.08","FEW:02 65","29.26","10.00","54","210","20","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10205/10/20 16:52:02 METAR KCLT 102152Z 21008G17KT 10SM FEW065 20/06 A3009 RMK AO2 SLP186 T02000056 (SAC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T17:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.07","42","69","0.00","","","","38","30.06","FEW:02 65","29.25","10.00","55","210","21","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10205/10/20 17:52:02 METAR KCLT 102252Z 21012G18KT 10SM FEW065 21/06 A3007 RMK AO2 SLP180 T02060056 (SAC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T18:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.06","43","66","0.00","","+0.04","6","43","30.05","FEW:02 65","29.23","10.00","54","200","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11705/10/20 18:52:02 METAR KCLT 102352Z 20006KT 10SM FEW065 19/06 A3006 RMK AO2 SLP177 T01890061 10211 20189 56014 (SAC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T19:00:00","FM-12","4","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","66","","","+0.04","6","43","30.05","57","29.28","9.94","54","200","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072314 32766 22006 10189 20061 39917 40177 56014 92352 333 10211 20067 555 91100=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T19:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.06","44","62","0.00","","","","52","30.05","FEW:02 100","29.23","10.00","53","180","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09305/10/20 19:52:01 METAR KCLT 110052Z 18005KT 10SM FEW100 17/07 A3006 RMK AO2 SLP177 T01670067","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T20:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.06","45","59","0.00","","","","60","30.05","CLR:00","29.23","10.00","52","180","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09005/10/20 20:52:01 METAR KCLT 110152Z 18006KT 10SM CLR 15/07 A3006 RMK AO2 SLP176 T01500072","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T21:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.06","46","57","0.00","","+0.00","7","67","30.05","CLR:00","29.23","10.00","51","200","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09605/10/20 21:52:01 METAR KCLT 110252Z 20006KT 10SM CLR 14/08 A3006 RMK AO2 SLP176 T01390078 57001","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T22:00:00","FM-12","4","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","57","","","+0.00","7","67","30.05","","29.28","9.94","51","200","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06472314 32966 02006 10139 20078 39917 40176 57001 90252 555 91103=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
